PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Trumbauer, E; Villac, B		Schaub, H; Gunter, BC; Russell, RP; Cerven, WT		Trumbauer, Eric; Villac, Benjamin			AN ANALYSIS OF MULTIPLE-REVOLUTION THIRD BODY DRIVEN PLANE CHANGE MANEUVERS	ASTRODYNAMICS 2011, PTS I - IV	Advances in the Astronautical Sciences		English	Proceedings Paper	AAS/AIAA Astrodynamics Specialist Conference	JUL 31-AUG 04, 2011	AK	AAS, AIAA			SATELLITE ORBITERS; 3-BODY PROBLEM; TRAJECTORIES	Third-body forces can greatly affect the orbital elements of spacecraft orbiting moons and small bodies. These forces can be harnessed to induce controlled orbital maneuvers such as plane changes. Previous studies have focused on a single revolution to effect these maneuvers. This paper extends this by considering multiple periapsis passages before recircularization. The performance envelope is evaluated and compared to previous studies. While the gains are modest in feasible cases, interesting structures emerge in relation to escape, capture, and libration point dynamics. These present opportunities for mapping nearby regions suitable for transfers to and from scientifically interesting near-polar orbits.	[Trumbauer, Eric; Villac, Benjamin] Univ Calif Irvine, Irvine, CA 92717 USA	Trumbauer, E (reprint author), Univ Calif Irvine, Irvine, CA 92717 USA.	etrumbau@uci.edu; bvillac@uci.edu					Chobotov V. A., 2002, AIAA ED SERIES, P99; CONLEY CC, 1968, SIAM J APPL MATH, V16, P732, DOI 10.1137/0116060; Davis K. E., 2011 BORN S; Haapala A. F., 2011, 21 AAS AIAA SPAC FLI; Henrard J, 2001, CELEST MECH DYN ASTR, V79, P297, DOI 10.1023/A:1017536931038; Hill G W, 1878, AM J MATH, V1, p[5, 129, 245], DOI DOI 10.2307/2369430; Koon W. S., 2008, DYNAMICAL SYSTEMS 3; Lo M. W., J ASTRONAUTICAL SCI, V49, P169; Paskowitz ME, 2006, J GUID CONTROL DYNAM, V29, P342, DOI 10.2514/1.13761; Scheeres DJ, 2001, J GUID CONTROL DYNAM, V24, P778, DOI 10.2514/2.4778; Villac BF, 2003, J GUID CONTROL DYNAM, V26, P750, DOI 10.2514/2.5109; Villac BF, 2003, J GUID CONTROL DYNAM, V26, P224, DOI 10.2514/2.5062; Villac B. F., 2004, AAS AIAA FLIGHT MECH; Villac B. F., P 2003 AAS AIAA SPAC	14	0	0	0	0	UNIVELT INC	SAN DIEGO	PO BOX 28130, SAN DIEGO, CA 92128 USA	1081-6003		978-0-87703-577-0	ADV ASTRONAUT SCI			2012	142						3	22				20	Engineering, Aerospace	Engineering	BFY99	WOS:000321933400001		No			2017-12-09	
S	Anderson, RL; Parker, JS		Schaub, H; Gunter, BC; Russell, RP; Cerven, WT		Anderson, Rodney L.; Parker, Jeffrey S.			COMPARISON OF LOW-ENERGY LUNAR TRANSFER TRAJECTORIES TO INVARIANT MANIFOLDS	ASTRODYNAMICS 2011, PTS I - IV	Advances in the Astronautical Sciences		English	Proceedings Paper	AAS/AIAA Astrodynamics Specialist Conference	JUL 31-AUG 04, 2011	AK	AAS, AIAA			RESTRICTED 3-BODY PROBLEM; LIBRATION POINT ORBITS; FAMILIES; EARTH; MOON	In this study, transfer trajectories from the Earth to the Moon that encounter the Moon at various flight path angles are examined, and lunar approach trajectories are compared to the invariant manifolds of selected unstable orbits in the circular restricted three-body problem. Previous work focused on lunar impact and landing trajectories encountering the Moon normal to the surface, and this research extends the problem with different flight path angles in three dimensions. The lunar landing geometry for a range of Jacobi constants are computed, and approaches to the Moon via invariant manifolds from unstable orbits are analyzed for different energy levels.	[Anderson, Rodney L.; Parker, Jeffrey S.] CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA	Anderson, RL (reprint author), CALTECH, Jet Prop Lab, 4800 Oak Grove Dr,M-S 301-121, Pasadena, CA 91109 USA.			Anderson, Rodney/0000-0001-5336-2775			Anderson RL, 2005, ADV ASTRONAUT SCI, V120, P1855; Anderson R.L., 2011, 21 AAS AIAA SPAC FLI; Baoyin H, 2006, J GUID CONTROL DYNAM, V29, P998, DOI 10.2514/1.17757; Broschart S. B., 2009, ADV ASTRONAUTICAL 2, V135, P1329; Chung M. J., 2010, AIAA GUID NAV CONTR; CONLEY CC, 1968, SIAM J APPL MATH, V16, P732, DOI 10.1137/0116060; EASTON R, 1971, J DIFFER EQUATIONS, V10, P92, DOI 10.1016/0022-0396(71)90098-2; Folkner W. M., 2008, 343R08003 IOM JET PR; Gomez G, 1993, CELEST MECH DYN ASTR, V56, P541, DOI 10.1007/BF00696185; Hatch S. J., 2010, AIAA AAS ASTR SPEC C; Koon W.S., 2000, AAS AIAA ASTR SPEC C; Lo M. W., 2002, AIAA AAS ASTR SPEC M; Alessi EM, 2009, COMMUN NONLINEAR SCI, V14, P4153, DOI 10.1016/j.cnsns.2008.09.016; MCGEHEE R, 1974, INVENT MATH, V27, P191, DOI 10.1007/BF01390175; Miele A., 1960, ASTRONAUT ACTA, V6, P225; Mission Evaluation Team, 1971, SP238 NASA; NASA, 2005, NASATM2005214062; Ozimek MT, 2010, J GUID CONTROL DYNAM, V33, P533, DOI 10.2514/1.43179; Parker J. S., 2006, Spaceflight Mechanics 2006 (Advances in the Astronautical Science Vol.124), P483; Parker J. S., 2007, THESIS U COLORADO BO; Parker J. S., 2005, ADV ASTRONAUTICAL 3, V123, P2067; Roncoli R. B., 2005, D32296 JPL; Roncoli R.B., 2010, AIAA AAS ASTR SPEC C; Seidelmann P. K., 1992, EXPLANATORY SUPPLEME; Szebehely V. G., 1967, THEORY ORBITS RESTRI, P7; von Kirchbach C, 2005, ADV ASTRONAUT SCI, V120, P1875; Woodard M., 2009, 21 INT S SPAC FLIGHT	27	0	0	0	0	UNIVELT INC	SAN DIEGO	PO BOX 28130, SAN DIEGO, CA 92128 USA	1081-6003		978-0-87703-577-0	ADV ASTRONAUT SCI			2012	142						333	352				20	Engineering, Aerospace	Engineering	BFY99	WOS:000321933400021		No			2017-12-09	
S	Qian, YJ; Hwang, IS; Jing, WX; Wei, J		Schaub, H; Gunter, BC; Russell, RP; Cerven, WT		Qian, Yingjing; Hwang, Inseok; Jing, Wuxing; Wei, Jian			NEW DYNAMIC MODEL FOR LUNAR PROBE AND ITS APPLICATION TO QUASI-PERIODIC ORBIT ABOUT THE TRANSLUNAR LIBRATION POINT	ASTRODYNAMICS 2011, PTS I - IV	Advances in the Astronautical Sciences		English	Proceedings Paper	AAS/AIAA Astrodynamics Specialist Conference	JUL 31-AUG 04, 2011	AK	AAS, AIAA			RESTRICTED 4-BODY PROBLEM; MOON; MOTION	A new dynamic model with the standard ephemerides that describes the relative motion of a lunar probe in a rotating coordinate system is presented. By using the ephemerides, the description for the real physical situation is more precise. Compared with other high-order models, the complexity of the proposed model is lower. More specifically, the proposed model considers the influences of direct and indirect Sun's perturbation, and the eccentricity of the Moon's orbit. It also provides a solution without a truncation error. Further, a lunar L2 quasiperiodic orbit design is presented as an application of the proposed model. The initial conditions are calculated by using the Lindstedt-Poincare technique. An iteration method which introduces the Sun's influence gradually and the differential correction are utilized to adjust the initial conditions.	[Qian, Yingjing; Hwang, Inseok; Wei, Jian] Purdue Univ, Sch Aeronaut & Astronaut, W Lafayette, IN 47907 USA	Qian, YJ (reprint author), Purdue Univ, Sch Aeronaut & Astronaut, W Lafayette, IN 47907 USA.	qian14@purdue.edu; ihwang@purdue.edu; wei15@purdue.edu		Qian, Ying-Jing/0000-0003-1067-6699			Baoyin HX, 2006, CELEST MECH DYN ASTR, V94, P155, DOI 10.1007/s10569-005-4626-3; Brown E., 1960, AN INTRODUCTORY TREA; CONLEY CC, 1968, SIAM J APPL MATH, V16, P732, DOI 10.1137/0116060; Evans W.S., NATURAL ENVIRONMENT; Farquhar R., 1968, THESIS; Farquhar R. W., 1973, Celestial Mechanics, V7, P458, DOI 10.1007/BF01227511; Gmez G., AAS 01 301; Hill G W, 1878, AM J MATH, V1, p[129, 245], DOI DOI 10.2307/2369430; HOWELL KC, 1993, J GUID CONTROL DYNAM, V16, P151, DOI 10.2514/3.11440; HOWELL KC, 1986, ACTA ASTRONAUT, V13, P473, DOI 10.1016/0094-5765(86)90026-3; Howell K. C., NUMERICAL DETERMINAT; [荆武兴 Jing Wuxing], 2010, [中国科学：物理学 力学 天文学, Scientia Sinica Physica, Mechanica & Astronomica], V40, P462; Keric H., AAS AIAA ASTRODYNAMI; Kim M., AAS 01 324; Koon WS, 2001, CELEST MECH DYN ASTR, V81, P63, DOI 10.1023/A:1013359120468; MOHN L, 1967, ASTRON J, V72, P959, DOI 10.1086/110370; NICHOLSON FT, 1967, AIAA J, V5, P2237, DOI 10.2514/3.4415; Parker JS, 2008, J SPACECRAFT ROCKETS, V45, P1269, DOI 10.2514/1.35262; RICHARDSON DL, 1980, CELESTIAL MECH, V22, P241, DOI 10.1007/BF01229511; Ross I. M., 2002, PROCEEDINGS OF THE A; Schechter H.B., 1968, AIAA J, V6, P12231; Sim C., 1987, ACTA ASTRONAUT, V15, P391; Szebehely V., 1967, THEORY ORBITS RESTRI; TAPLEY BD, 1964, AIAA J, V2, P728	24	2	2	0	2	UNIVELT INC	SAN DIEGO	PO BOX 28130, SAN DIEGO, CA 92128 USA	1081-6003		978-0-87703-577-0	ADV ASTRONAUT SCI			2012	142						753	770				18	Engineering, Aerospace	Engineering	BFY99	WOS:000321933400044		No			2017-12-09	
S	Roberts, CE		Schaub, H; Gunter, BC; Russell, RP; Cerven, WT		Roberts, Craig E.			LONG TERM MISSIONS AT THE SUN-EARTH LIBRATION POINT L1: ACE, SOHO, AND WIND	ASTRODYNAMICS 2011, PTS I - IV	Advances in the Astronautical Sciences		English	Proceedings Paper	AAS/AIAA Astrodynamics Specialist Conference	JUL 31-AUG 04, 2011	AK	AAS, AIAA			ORBIT	Three heliophysics missions-the Solar Heliospheric Observatory (SOHO), the Advanced Composition Explorer (ACE), and the Global Geoscience WIND-have been orbiting the Sun-Earth interior libration point L1 continuously since 1996, 1997, and 2004, respectively. ACE and WIND (both NASA missions) and SOHO (an ESA-NASA joint mission) are all operated from the NASA Goddard Space Flight Center Flight Dynamics Facility. While ACE and SOHO have been dedicated libration point orbiters since their launches, WIND prior to 2004 flew a remarkable 10-year deep-space trajectory that featured 38 targeted lunar flybys. The L1 orbits and the mission histories of the three spacecraft are briefly reviewed, and the station-keeping techniques and orbit maneuver experience are discussed.	Ai Solut Inc, Mission Serv Dept, Lanham, MD 20706 USA	Roberts, CE (reprint author), Ai Solut Inc, Mission Serv Dept, 10001 Derekwood Lane,Suite 215, Lanham, MD 20706 USA.						Dunham DW, 2001, J ASTRONAUT SCI, V49, P127; DUNHAM DW, 1992, 920066 IAF; Farquhar RW, 2001, J ASTRONAUT SCI, V49, P23; Franz H, 2001, J ASTRONAUT SCI, V49, P145; Franz H., 2001, AAS AIAA SPAC FLIGHT; Franz H., 2002, AAS AIAA SPAC FLIGHT; Franz H., 2002, AIAA AAS ASTR SPEC C; Roberts CE, 2004, ESA SP PUBL, V548, P473; Roberts CE, 2003, PROCEEDINGS OF THE CONFERENCE ON LIBRATION POINT ORBITS AND APPLICATIONS, P171; Roberts CE, 2001, ADV ASTRONAUT SCI, V108, P1447; ROBERTS CE, 1989, ADV ASTRONAUT SCI, V69, P709; Sharer P., 1996, AIAA AAS ASTR SPEC C; Sharer P., 1995, CNES INT S SPAC DYN	13	0	0	0	0	UNIVELT INC	SAN DIEGO	PO BOX 28130, SAN DIEGO, CA 92128 USA	1081-6003		978-0-87703-577-0	ADV ASTRONAUT SCI			2012	142						1263	1282				20	Engineering, Aerospace	Engineering	BFY99	WOS:000321933400073		No			2017-12-09	
S	Heritier, A; Howell, KC		Schaub, H; Gunter, BC; Russell, RP; Cerven, WT		Heritier, Aurelie; Howell, Kathleen C.			NATURAL REGIONS NEAR THE SUN-EARTH LIBRATION POINTS SUITABLE FOR SPACE OBSERVATIONS WITH LARGE FORMATIONS	ASTRODYNAMICS 2011, PTS I - IV	Advances in the Astronautical Sciences		English	Proceedings Paper	AAS/AIAA Astrodynamics Specialist Conference	JUL 31-AUG 04, 2011	AK	AAS, AIAA			MOTIONS	This investigation explores regions near libration points that might prove suitable for space observations with large formations. Recent analyses have considered occulters located at relatively large distances from the telescope near the L-2 Sun-Earth libration point for detection of exoplanets. During the science mode, the telescope-occulter distance, as well as the pointing direction toward the star, are typically fixed. Quasi-periodic Lissajous trajectories are employed as a tool to determine regions near the telescope orbit where the large formation can be maintained. By placing the occulter in these locations, the control required to maintain the line-of-sight is reduced.	[Heritier, Aurelie; Howell, Kathleen C.] Purdue Univ, Sch Aeronaut & Astronaut, W Lafayette, IN 47907 USA	Heritier, A (reprint author), Purdue Univ, Sch Aeronaut & Astronaut, W Lafayette, IN 47907 USA.	aheritie@purdue.edu; howell@purdue.edu					Barden BT, 1998, J ASTRONAUT SCI, V46, P361; Cash W., 2011, EPJ WEB C, V16; Gomez G, 2005, J ASTRONAUT SCI, V53, P413; Gomez G., 2001, AAS ASTR SPEC C QUEB; Howell KC, 2005, DYNAM SYST, V20, P149, DOI 10.1080/1468936042000298224; Kolemen E, 2007, ADV ASTRONAUT SCI, V128, P215; Lo M., 2006, EXTERNAL OCCULTER TR; Luquette R., 2008, 3 INT S FORM FLYING; Marchand BG, 2005, J GUID CONTROL DYNAM, V28, P1210, DOI 10.2514/1.11016; Millard LD, 2008, ACTA ASTRONAUT, V63, P1283, DOI 10.1016/j.actaastro.2008.05.016	10	0	0	0	0	UNIVELT INC	SAN DIEGO	PO BOX 28130, SAN DIEGO, CA 92128 USA	1081-6003		978-0-87703-577-0	ADV ASTRONAUT SCI			2012	142						1405	1422				18	Engineering, Aerospace	Engineering	BFY99	WOS:000321933400081		No			2017-12-09	
S	Folta, D; Woodard, M; Sweetser, T; Broschart, SB; Cosgrove, D		Schaub, H; Gunter, BC; Russell, RP; Cerven, WT		Folta, David; Woodard, Mark; Sweetser, Theodore; Broschart, Stephen B.; Cosgrove, Daniel			DESIGN AND IMPLEMENTATION OF THE ARTEMIS LUNAR TRANSFER USING MULTI-BODY DYNAMICS	ASTRODYNAMICS 2011, PTS I - IV	Advances in the Astronautical Sciences		English	Proceedings Paper	AAS/AIAA Astrodynamics Specialist Conference	JUL 31-AUG 04, 2011	AK	AAS, AIAA			LIBRATION POINTS; EARTH; TRANSITIONS; ORBITS; L-1	The use of multi-body dynamics to design the transfer of spacecraft from Earth elliptical orbits to the Earth-Moon libration (L-1 and L-2) orbits has been successfully demonstrated by the Acceleration Reconnection and Turbulence and Electrodynamics of the Moon's Interaction with the Sun (ARTEMIS) mission. Operational support of the two ARTEMIS spacecraft is a final step in the realization of a design process that can be used to transfer spacecraft with restrictive operational constraints and fuel limitations. The focus of this paper is to describe in detail the processes and implementation of this successful approach.	[Folta, David; Woodard, Mark] NASA, Goddard Space Flight Ctr, Greenbelt, MD 20771 USA	Folta, D (reprint author), NASA, Goddard Space Flight Ctr, Bldg 11,Room S116, Greenbelt, MD 20771 USA.						Barden BT, 1998, J ASTRONAUT SCI, V46, P361; BARDEN BT, 2001, AAS AIAA ASTR SPEC C; BELBRUNO EA, 1993, J GUID CONTROL DYNAM, V16, P770, DOI 10.2514/3.21079; Belbruno E.A., 270 CRM I EST CAT; Bello-Mora M. F., 2000, P 51 INT ASTR C IAF; Broschart S., 2009, AAS AIAA ASTR SPEC C; Folta D., 2011, AAS AIAA ASTR SPEC C; Folta D., 61 INT ASTR C PRAG C; Gomez G, 1993, CELEST MECH DYN ASTR, V56, P541, DOI 10.1007/BF00696185; Gomez G, 2001, WORLD SCI MONOGRAPH, VII; GOMEZ G, 2001, WORLD SCI MONOGRAPH; Howell KC, 1997, J ASTRONAUT SCI, V45, P161; Howell KC, 2005, DYNAM SYST, V20, P149, DOI 10.1080/1468936042000298224; HOWELL KC, 1994, ADV ASTRONAUT SCI, V87, P399; Koon WS, 2000, CHAOS, V10, P427, DOI 10.1063/1.166509; Lo M., 2000, LTOOL VERSION 1 0G D; Sibeck DG, 2011, SPACE SCI REV, V165, P59, DOI 10.1007/s11214-011-9777-9; Whiffen G. J., 2006, P AIAA AAS ASTR SPEC; Woodard M., 2009, 21 INT S SPAC FLIGHT	19	0	0	0	0	UNIVELT INC	SAN DIEGO	PO BOX 28130, SAN DIEGO, CA 92128 USA	1081-6003		978-0-87703-577-0	ADV ASTRONAUT SCI			2012	142						1647	1665				19	Engineering, Aerospace	Engineering	BFY99	WOS:000321933400095		No			2017-12-09	
S	Cheetham, BW; Born, GH		Schaub, H; Gunter, BC; Russell, RP; Cerven, WT		Cheetham, Bradley W.; Born, George H.			EVALUATING ORBIT DETERMINATION POST-PROCESSING METHODS FOR OPERATIONAL ARTEMIS DATA	ASTRODYNAMICS 2011, PTS I - IV	Advances in the Astronautical Sciences		English	Proceedings Paper	AAS/AIAA Astrodynamics Specialist Conference	JUL 31-AUG 04, 2011	AK	AAS, AIAA				Operating in the highly dynamic Earth-Moon libration point orbit (LPO) region, which is predominantly perturbed by the Earth, the Moon, and the Sun, is a challenge. The Artemis mission operated by the NASA Goddard Space Flight Center and the University of California at Berkeley recently became the first to ever maintain orbits in this regime. The resulting operational data provides significant opportunity for analysis to better understand these orbits and their operational constraints. Future efforts to quantify orbit determination results, recover un-modeled accelerations, realistic uncertainty propagation, and ultimately LPO utilization will grow out of an ability to post-process this operational data for further understanding of the dynamics involved. To prepare for post-processing of this data, this paper quantifies the effects of various contributors to the dynamic models, experimentally models errors in a simulated environment, and outlines areas of future focus. Realistic spacecraft ephemeris and attribute information will be used to the maximum extent possible. Simulations of orbit determination efficacy are performed using the Analytical Graphics Inc. Orbit Determination Tool Kit (ODTK) with appropriate tracking and spacecraft characteristics and known error sources.	[Cheetham, Bradley W.] Univ Colorado Boulder Aerosp Engn Sci, Colorado Ctr Astrodynam Res, UCB 431, Boulder, CO 80309 USA	Cheetham, BW (reprint author), Univ Colorado Boulder Aerosp Engn Sci, Colorado Ctr Astrodynam Res, UCB 431, Boulder, CO 80309 USA.						Angelopoulos V, 2011, SPACE SCI REV, V165, P3, DOI 10.1007/s11214-010-9687-2; Broschart S.B., 2009, AAS AIAA ASTR SPEC M; [Anonymous], 2008, 820013 DSN; [Anonymous], 2009, 820100 DSN; Farquhar R. W., 1967, J SPACECRAFT ROCKETS, V4; Folta D., 2004, AIAA AAS ASTR SPEC C; HILL K, 2006, AIAA AAS ASTR SPEC C; HILL KA, 2007, THESIS U COLORADO BO; Konopliv AS, 1998, SCIENCE, V281, P1476, DOI 10.1126/science.281.5382.1476; Leonard J.M., 2011, AAS AIAA ASTR SPEC C; McMahon J. W., 2011, THESIS U COLORADO BO; Montenbruck O., 2000, SATELLITE ORBITS MOD; SCHANZLE A, 1995, ERROR SOURCES NOMINA; Szebehely V., 1967, THEORY ORBITS RESTRI; Tombasco J., 2011, THESIS U COLORADO BO; Vallado D.A., 2001, FUNDAMENTALS ASTRODY; Woodard M., 2011, AAS AIAA ASTR SPEC C; Woodard M., 2009, ARTEMIS 1 MISSION LU	18	0	0	0	2	UNIVELT INC	SAN DIEGO	PO BOX 28130, SAN DIEGO, CA 92128 USA	1081-6003		978-0-87703-577-0	ADV ASTRONAUT SCI			2012	142						1667	1682				16	Engineering, Aerospace	Engineering	BFY99	WOS:000321933400096		No			2017-12-09	
S	Woodard, M; Cosgrove, D; Morinelli, P; Marchese, J; Owens, B; Folta, D		Schaub, H; Gunter, BC; Russell, RP; Cerven, WT		Woodard, Mark; Cosgrove, Daniel; Morinelli, Patrick; Marchese, Jeffrey; Owens, Brandon; Folta, David			ORBIT DETERMINATION OF SPACECRAFT IN EARTH-MOON L1 AND L2 LIBRATION POINT ORBITS	ASTRODYNAMICS 2011, PTS I - IV	Advances in the Astronautical Sciences		English	Proceedings Paper	AAS/AIAA Astrodynamics Specialist Conference	JUL 31-AUG 04, 2011	AK	AAS, AIAA				The ARTEMIS mission, part of the THEMIS extended mission is the first to fly spacecraft in the Earth-Moon Lissajous regions. In order to effectively perform lunar Lissajous station-keeping maneuvers, the ARTEMIS operations team has provided orbit determination solutions with typical accuracies on the order of 0.1 km in position and 0.1 cm/s in velocity. The ARTEMIS team utilizes the Goddard Trajectory Determination System (GTDS), using a batch least squares method, to process range and Doppler tracking measurements from the NASA Deep Space Network (DSN), Berkeley Ground Station (BGS), Merritt Island (MILA) station, and United Space Network (USN). The team has also investigated processing of the same tracking data measurements using the Orbit Determination Tool Kit (ODTK) software, which uses an extended Kalman filter and recursive smoother to estimate the orbit. The orbit determination results from each of these methods will be presented and we will discuss the advantages and disadvantages associated with using each method in the lunar Lissajous regions. In addition, we used the Orbit Determination Error Analysis System (ODEAS) to perform covariance analyses using various tracking data schedules. From this analysis, it was determined that 3.5 hours of DSN TRK-2-34 range and Doppler tracking data every other day would suffice to meet the predictive orbit knowledge accuracies in the Lissajous region.	[Woodard, Mark] NASA GSFC, Nav & Miss Design Branch, Greenbelt, MD USA	Woodard, M (reprint author), NASA GSFC, Nav & Miss Design Branch, Greenbelt, MD USA.						Bester M., 2010, P AIAA 2010 SPACEOPS; Cosgrove D., 2010, P AIAA 2010 SPACEOPS; Folta D., 2010, P 61 IAF INT ASTR C; Folta D., 2011, DESIGN OPTIMIZATION; Roberts B., 2010, P AIAA 2010 SPACEOPS; Sweetser T., 2009, ARTEMIS MODELS CONST; Sweetser T., 2011, SPACE SCI REV; Truong S., 1993, ORBIT DETERMINATION	8	0	0	0	2	UNIVELT INC	SAN DIEGO	PO BOX 28130, SAN DIEGO, CA 92128 USA	1081-6003		978-0-87703-577-0	ADV ASTRONAUT SCI			2012	142						1683	1696				14	Engineering, Aerospace	Engineering	BFY99	WOS:000321933400097		No			2017-12-09	
S	Folta, DC; Woodard, MA; Cosgrove, D		Schaub, H; Gunter, BC; Russell, RP; Cerven, WT		Folta, David C.; Woodard, Mark A.; Cosgrove, Daniel			STATIONKEEPING OF THE FIRST EARTH-MOON LIBRATION ORBITERS: THE ARTEMIS MISSION	ASTRODYNAMICS 2011, PTS I - IV	Advances in the Astronautical Sciences		English	Proceedings Paper	AAS/AIAA Astrodynamics Specialist Conference	JUL 31-AUG 04, 2011	AK	AAS, AIAA			POINT ORBITS; KEEPING STRATEGIES	Libration point orbits near collinear locations are inherently unstable and must be controlled. For Acceleration Reconnection and Turbulence and Electrodynamics of the Moon's Interaction with the Sun (ARTEMIS) Earth-Moon Lissajous orbit operations, stationkeeping is challenging because of short time scales, large orbital eccentricity of the secondary, and solar gravitational and radiation pressure perturbations. ARTEMIS is the first NASA mission continuously controlled at both Earth-Moon L-1 and L-2 locations and uses a balance of optimization, spacecraft implementation and constraints, and multi-body dynamics. Stationkeeping results are compared to pre-mission research including mode directions.	[Folta, David C.; Woodard, Mark A.] NASA, Goddard Space Flight Ctr, Greenbelt, MD 20771 USA	Folta, DC (reprint author), NASA, Goddard Space Flight Ctr, Bldg 11,Room S116, Greenbelt, MD 20771 USA.						Angelopoulos V, 2011, SPACE SCI REV, V165, P3, DOI 10.1007/s11214-010-9687-2; Angelopoulos V, 2008, SPACE SCI REV, V141, P5, DOI 10.1007/s11214-008-9336-1; Broschart S.B., 2009, ADV ASTRONAUTICAL SC, V134; Dunham DW, 2001, J ASTRONAUT SCI, V49, P127; Farquhar R. W., 1971, D6365 NASA TN; Folta D., 2010, 20 AAS AIAA SPAC FLI; Folta D., 2004, AIAA AAS ASTR C PROV; Gomez G, 1998, ADV ASTRONAUT SCI, V99, P949; GOMEZ G, 2001, WORLD SCI MONOGRAPH; Hoffman D, 1993, JSC26189 NASA; HOWELL KC, 1995, ADV ASTRONAUT SCI, V89, P1377; HOWELL KC, 1993, J GUID CONTROL DYNAM, V16, P151, DOI 10.2514/3.11440; HOWELL KC, 1994, J ASTRONAUT SCI, V42, P207; Janes L., 2005, GODD FLIGHT MECH S; Marchand B.G., 2003, AAS AIAA ASTR SPEC C; Pavlak T, 2011, AAS AIAA ASTR SPEC C; Renault CA, 2003, J GUID CONTROL DYNAM, V26, P758, DOI 10.2514/2.5110; Rohrbaugh D., 2002, AIAA AAS ASTR SPEC C; Sibeck DG, 2011, SPACE SCI REV, V165, P59, DOI 10.1007/s11214-011-9777-9; Sweetser T., 2011, SPACE SCI REV; Williams K., 2000, INT S SPAC DYN BIARR; Woodard M., 2009, 21 INT S SPAC FLIGHT; Woodard M., 2011, AAS AIAA ASTR SPEC C	23	0	0	0	0	UNIVELT INC	SAN DIEGO	PO BOX 28130, SAN DIEGO, CA 92128 USA	1081-6003		978-0-87703-577-0	ADV ASTRONAUT SCI			2012	142						1697	1715				19	Engineering, Aerospace	Engineering	BFY99	WOS:000321933400098		No			2017-12-09	
S	Pavlak, TA; Howell, KC		Schaub, H; Gunter, BC; Russell, RP; Cerven, WT		Pavlak, Thomas A.; Howell, Kathleen C.			STRATEGY FOR LONG-TERM LIBRATION POINT ORBIT STATIONKEEPING IN THE EARTH-MOON SYSTEM	ASTRODYNAMICS 2011, PTS I - IV	Advances in the Astronautical Sciences		English	Proceedings Paper	AAS/AIAA Astrodynamics Specialist Conference	JUL 31-AUG 04, 2011	AK	AAS, AIAA				Given the success of the first Earth-Moon libration point mission, ARTEMIS, it is likely that the Earth-Moon libration points will continue to be employed as platforms for space communications and scientific observations in the future. A long-term stationkeeping strategy for Earth-Moon libration point orbits is examined, one that does not require strict adherence to a baseline trajectory but retains the capability to meet a specific set of end-of-mission objectives for a planned lunar orbit insertion. The method is sufficiently general and is applied to both the ARTEMIS P1 and P2 trajectories in an ephemeris model.	[Pavlak, Thomas A.; Howell, Kathleen C.] Purdue Univ, Sch Aeronaut & Astronaut, W Lafayette, IN 47907 USA	Pavlak, TA (reprint author), Purdue Univ, Sch Aeronaut & Astronaut, Armstrong Hall Engn,701 W Stadium Ave, W Lafayette, IN 47907 USA.						Angelopoulos V, 2008, SPACE SCI REV, V141, P5, DOI 10.1007/s11214-008-9336-1; Breakwell J. V., 1974, Celestial Mechanics, V10, P357, DOI 10.1007/BF01586864; Farquhar R., 1970, X55170449 NASA GSFC; Folta D., 2011, AAS AIAA ASTR SPEC C; Folta D., 2010, 20 AAS AIAA SPAC FLI; Gomez G, 1998, ADV ASTRONAUT SCI, V99, P949; Grebow DJ, 2008, J SPACECRAFT ROCKETS, V45, P344, DOI 10.2514/1.28738; HOWELL KC, 1995, ADV ASTRONAUT SCI, V89, P1377; Janes L., 2005, GODD FLIGHT MECH S G; Marchand B., 2010, 20 AAS AIAA SPAC FLI; Pavlak T. A., 2010, THESIS PURDUE U W LA; Short C., 2011, 21 AAS AIAA SPAC FLI; SIMO C, 1987, ACTA ASTRONAUT, V15, P391, DOI 10.1016/0094-5765(87)90175-5; Woodard M., 2009, 21 INT S SPAC FLIGHT	14	0	0	0	0	UNIVELT INC	SAN DIEGO	PO BOX 28130, SAN DIEGO, CA 92128 USA	1081-6003		978-0-87703-577-0	ADV ASTRONAUT SCI			2012	142						1717	1734				18	Engineering, Aerospace	Engineering	BFY99	WOS:000321933400099		No			2017-12-09	
